Nombre;Timestamp;Enlace;Umbral;Precio
Monitor Gaming;2026-05-24T21:00:17.033498900;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:00:44.392976200;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:00:44.397216500;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:01:12.994737600;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:01:12.994737600;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:01:44.223972200;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:01:44.225729200;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:02:12.030847800;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:02:12.037888600;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:02:41.499306900;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:02:41.504819900;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:03:12.952882;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:03:12.955060600;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:03:44.426508800;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:03:44.427521800;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:04:11.648298800;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:04:11.649015700;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:04:44.770306700;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:04:44.773514;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:05:12.647234500;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:05:12.649258400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:05:42.855473100;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:05:42.857911700;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
Monitor Gaming;2026-05-24T21:06:13.243974700;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:06:46.230021300;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:06:46.233076300;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:07:17.813420800;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:07:17.815430400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
